,team,prefix_1,prefix_2,url
0,Atlanta Hawks,atl,atlanta-hawks,http://espn.go.com/nba/team/_/name/atl/atlanta-hawks
1,Boston Celtics,bos,boston-celtics,http://espn.go.com/nba/team/_/name/bos/boston-celtics
2,Brooklyn Nets,bkn,brooklyn-nets,http://espn.go.com/nba/team/_/name/bkn/brooklyn-nets
3,Charlotte Hornets,cha,charlotte-hornets,http://espn.go.com/nba/team/_/name/cha/charlotte-hornets
4,Chicago Bulls,chi,chicago-bulls,http://espn.go.com/nba/team/_/name/chi/chicago-bulls
5,Cleveland Cavaliers,cle,cleveland-cavaliers,http://espn.go.com/nba/team/_/name/cle/cleveland-cavaliers
6,Dallas Mavericks,dal,dallas-mavericks,http://espn.go.com/nba/team/_/name/dal/dallas-mavericks
7,Denver Nuggets,den,denver-nuggets,http://espn.go.com/nba/team/_/name/den/denver-nuggets
8,Detroit Pistons,det,detroit-pistons,http://espn.go.com/nba/team/_/name/det/detroit-pistons
9,Golden State Warriors,gs,golden-state-warriors,http://espn.go.com/nba/team/_/name/gs/golden-state-warriors
10,Houston Rockets,hou,houston-rockets,http://espn.go.com/nba/team/_/name/hou/houston-rockets
11,Indiana Pacers,ind,indiana-pacers,http://espn.go.com/nba/team/_/name/ind/indiana-pacers
12,Los Angeles Clippers,lac,los-angeles-clippers,http://espn.go.com/nba/team/_/name/lac/los-angeles-clippers
13,Los Angeles Lakers,lal,los-angeles-lakers,http://espn.go.com/nba/team/_/name/lal/los-angeles-lakers
14,Memphis Grizzlies,mem,memphis-grizzlies,http://espn.go.com/nba/team/_/name/mem/memphis-grizzlies
15,Miami Heat,mia,miami-heat,http://espn.go.com/nba/team/_/name/mia/miami-heat
16,Milwaukee Bucks,mil,milwaukee-bucks,http://espn.go.com/nba/team/_/name/mil/milwaukee-bucks
17,Minnesota Timberwolves,min,minnesota-timberwolves,http://espn.go.com/nba/team/_/name/min/minnesota-timberwolves
18,New Orleans Pelicans,no,new-orleans-pelicans,http://espn.go.com/nba/team/_/name/no/new-orleans-pelicans
19,New York Knicks,ny,new-york-knicks,http://espn.go.com/nba/team/_/name/ny/new-york-knicks
20,Oklahoma City Thunder,okc,oklahoma-city-thunder,http://espn.go.com/nba/team/_/name/okc/oklahoma-city-thunder
21,Orlando Magic,orl,orlando-magic,http://espn.go.com/nba/team/_/name/orl/orlando-magic
22,Philadelphia 76ers,phi,philadelphia-76ers,http://espn.go.com/nba/team/_/name/phi/philadelphia-76ers
23,Phoenix Suns,phx,phoenix-suns,http://espn.go.com/nba/team/_/name/phx/phoenix-suns
24,Portland Trail Blazers,por,portland-trail-blazers,http://espn.go.com/nba/team/_/name/por/portland-trail-blazers
25,Sacramento Kings,sac,sacramento-kings,http://espn.go.com/nba/team/_/name/sac/sacramento-kings
26,San Antonio Spurs,sa,san-antonio-spurs,http://espn.go.com/nba/team/_/name/sa/san-antonio-spurs
27,Toronto Raptors,tor,toronto-raptors,http://espn.go.com/nba/team/_/name/tor/toronto-raptors
28,Utah Jazz,utah,utah-jazz,http://espn.go.com/nba/team/_/name/utah/utah-jazz
29,Washington Wizards,wsh,washington-wizards,http://espn.go.com/nba/team/_/name/wsh/washington-wizards
